Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Marcus Smart	21	27.3	3	8.7	1	4	2	4.7	0.405	2.1	2.7	4.2	3	1.5	0.3	1.3	3431040
Bojan Bogdanovic	26	26.8	4.1	9.5	1.6	4.3	2.5	5.2	0.519	1.4	1.7	3.2	1.3	0.4	0.1	1.5	3425510
Evan Turner	27	28	4.2	9.3	0.2	1	4	8.3	0.469	1.8	2.2	4.9	4.4	1	0.3	2.1	3425510
Willie Cauley-Stein	22	21.4	2.9	5.1	0	0	2.9	5.1	0.563	1.2	1.9	5.3	0.6	0.7	1	0.7	3398280
Quincy Pondexter	0		0		0		0		0		0		0		0		3382023
Paul Pierce	38	18.1	2.1	5.8	1.1	3.6	1	2.3	0.457	0.8	1	2.7	1	0.5	0.3	0.9	3376000
Anthony Morrow	30	13.6	2	4.9	1.2	3	0.8	1.9	0.527	0.4	0.6	0.9	0.4	0.3	0.1	0.3	3344000
Mike Scott	27	15.3	2.3	5	0.8	2.1	1.5	2.9	0.551	0.7	0.8	2.7	1	0.3	0.2	0.6	3333333
Drew Gooden	34	10.2	1.1	3.4	0.2	1.4	0.9	2.1	0.354	0.3	0.5	2.8	0.4	0.3	0.4	0.4	3300000
Andre Drummond	22	32.9	6.8	13.1	0	0.1	6.8	13	0.522	2.6	7.2	14.8	0.8	1.5	1.4	1.9	3272091
K.J. McDaniels	22	6.4	0.8	1.9	0.2	0.7	0.6	1.3	0.451	0.6	0.8	1.1	0.3	0.2	0.2	0.5	3189794
Ben McLemore	22	21.2	2.9	6.7	1	2.7	1.9	4	0.502	1.1	1.5	2.2	1.2	0.8	0.1	1.5	3156600
Randy Foye	32	20.3	2.1	6	0.9	3.1	1.2	2.9	0.428	0.8	0.9	1.9	2	0.5	0.4	1.1	3135000
Julius Randle	21	28.2	4.4	10.3	0.1	0.4	4.3	9.9	0.435	2.4	3.3	10.2	1.8	0.7	0.4	1.8	3132240
Austin Rivers	23	21.9	3.4	7.7	0.9	2.8	2.4	4.9	0.498	1.2	1.7	1.9	1.5	0.7	0.1	0.9	3110796
Emmanuel Mudiay	19	30.4	4.8	13.3	1.1	3.4	3.8	9.9	0.404	2.1	3.1	3.4	5.5	1	0.5	3.2	3102240
Meyers Leonard	23	21.9	3.2	7.1	1.4	3.7	1.8	3.4	0.547	0.6	0.8	5.1	1.5	0.1	0.3	1.3	3075880
Norris Cole	27	26.6	4.4	10.8	0.7	2.3	3.6	8.5	0.439	1.2	1.4	3.4	3.7	0.8	0.1	1.7	3036927
Jeremy Lamb	23	18.6	3.5	7.7	0.8	2.7	2.6	5	0.506	1	1.3	3.8	1.2	0.6	0.5	0.8	3034356
Brandon Bass	30	20.3	2.6	4.8	0	0	2.6	4.8	0.549	1.9	2.2	4.3	1.1	0.5	0.8	0.6	3000000
Anthony Tolliver	30	18.6	1.8	4.6	1.4	3.8	0.4	0.8	0.533	0.4	0.7	3.2	0.7	0.4	0.2	0.4	3000000
John Henson	25	16.8	2.9	5.1	0	0	2.9	5.1	0.564	1.2	2.1	3.9	0.9	0.3	1.9	1.1	2943221
Luis Scola	35	21.5	3.5	7.9	0.9	2.1	2.7	5.8	0.504	0.8	1.1	4.7	0.9	0.6	0.4	0.9	2900000
Tibor Pleiss	26	6.8	0.9	2.1	0	0.2	0.9	1.9	0.44	0.2	0.2	1.3	0.2	0.1	0.2	0.7	2900000
Maurice Harkless	22	18.7	2.5	5.3	0.5	1.8	2	3.5	0.522	0.9	1.4	3.6	0.9	0.6	0.4	0.8	2894059
Kentavious Caldwell-Pope	22	36.7	5.3	12.6	1.5	4.9	3.8	7.8	0.479	2.4	3	3.7	1.8	1.4	0.2	1.4	2891760
